koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,is_exoplanet
0,0,0,0,15.96532718,142.178033,0.674,4.5837,482.2,3.33,872.0,136.42,144.2,5880.0,4.154,1.433,1
0,0,0,0,179.609803,295.330361,0.711,13.755,1273.0,5.47,389.0,5.41,184.6,5880.0,4.154,1.433,1
0,1,1,0,6.41496453,132.86482,1.187,3.9015,201.2,25.79,1153.0,417.97,53.1,6170.0,4.259,1.183,0
0,0,0,0,9.940666412,135.21559,0.02,3.9092,520.2,2.87,996.0,233.04,161.4,6215.0,4.305,1.259,1
0,0,0,0,11.427550984,137.613711,0.608,4.6074,500.9,2.35,852.0,124.31,165.5,5979.0,4.394,1.005,1
0,0,0,0,23.66834635,132.71421,0.758,5.8297,449.4,2.32,668.0,47.11,112.8,5979.0,4.394,1.005,1
0,0,0,0,51.75530504,271.08808,0.638,7.4355,609.2,2.61,515.0,16.6,116.9,5979.0,4.394,1.005,1
0,0,0,0,51.07926451,185.18087,0.017,6.3729,736.8,2.75,503.0,15.17,126.8,5833.0,4.407,1.022,1
0,0,0,0,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206.0,500.46,50.6,5833.0,4.407,1.022,1
0,1,1,0,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,6227.0,3.986,1.958,0
0,0,0,0,5.412203927,133.143089,0.787,2.9472,601.6,2.94,1093.0,337.68,166.7,5779.0,4.339,1.087,1
0,0,0,0,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997.0,233.31,47.1,5779.0,4.339,1.087,1
0,0,0,0,3.43591631,132.6624,0.624,3.133,23.2,0.55,1272.0,617.61,8.7,5779.0,4.339,1.087,1
0,0,0,0,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785.0,89.61,88.4,5854.0,4.406,1.012,1
0,0,0,0,43.84439721,151.93538,0.852,6.802,615.2,2.87,531.0,18.77,83.7,5854.0,4.406,1.012,1
0,0,0,0,6.164876,135.63916,0.646,3.262,55.8,0.79,1021.0,256.35,14.4,5854.0,4.406,1.012,1
0,0,0,0,23.9800854,147.537,0.95,5.351,104.0,1.31,649.0,41.94,17.1,5854.0,4.406,1.012,1
0,0,0,0,14.74914825,138.77799,0.173,6.0995,430.2,2.89,874.0,137.91,107.4,5847.0,4.191,1.402,1
0,0,0,0,4.90144976,138.60548,0.529,4.1654,140.7,1.7,1262.0,598.74,50.6,5847.0,4.191,1.402,1
0,0,0,0,3.180027898,133.49863,0.196,3.5797,120.3,1.53,1458.0,1066.86,50.4,5847.0,4.191,1.402,1
0,0,0,0,7.95825328,137.80219,0.706,4.377,50.0,1.06,1074.0,314.15,14.7,5847.0,4.191,1.402,1
0,0,0,0,24.99324319,138.68167,0.686,5.9409,269.6,2.29,712.0,60.88,62.0,5718.0,4.181,1.317,1
0,0,0,0,49.18394185,141.911924,0.035,11.3364,1646.2,8.2,669.0,47.4,355.7,5626.0,3.907,2.057,1
0,0,0,0,190.3200468,312.68498,0.812,15.284,1141.7,7.78,426.0,7.8,139.3,5626.0,3.907,2.057,1
0,0,0,0,20.5452375,137.91394,0.95,2.517,218.5,2.41,742.0,71.57,18.5,5670.0,4.206,1.264,1
0,1,1,1,8.8111022,136.4568,1.223,5.0683,401.1,63.66,1399.0,904.92,76.8,6200.0,3.8,2.404,0
0,0,0,0,11.523067458,131.969055,0.0,3.8757,507.3,3.13,927.0,174.81,142.0,5644.0,4.162,1.411,1
0,0,0,0,6.481633073,122.977657,0.833,3.784,298.5,2.54,1145.0,406.25,125.6,5945.0,4.213,1.302,1
0,0,0,0,21.22261195,137.57403,0.02,6.5093,366.0,2.48,771.0,83.56,114.9,5945.0,4.213,1.302,1
0,1,0,0,12.69104387,137.12594,0.008,3.7727,252.1,2.57,1008.0,244.3,60.2,5869.0,4.024,1.626,1
0,0,0,0,31.71981013,142.82083,0.125,4.819,363.4,3.09,743.0,71.97,63.1,5869.0,4.024,1.626,1
0,0,0,0,38.47876629,151.852812,0.003,5.04169,23530.0,13.26,484.0,13.01,1077.8,5510.0,4.539,0.879,1
1,0,0,0,33.80364366,202.259731,0.023,11.4813,13494.4,20.7,745.0,72.71,529.9,5855.0,3.999,1.796,0
0,0,0,0,0.875197345,131.8135915,1.004,0.052,0.0,0.73,2518.0,9497.39,0.0,5855.0,3.999,1.796,1
0,0,0,0,3.578780566,134.0304187,0.079,2.91089,11382.2,10.43,1145.0,406.6,1838.4,5524.0,4.421,0.994,1
0,0,0,0,4.942783419,136.3294353,0.566,3.25346,11144.7,10.62,1008.0,244.42,2040.7,5514.0,4.459,0.978,1
0,0,0,0,24.669192732,132.864236,0.073,7.03515,7382.3,77.76,1485.0,1150.61,603.0,5313.0,2.936,9.327,1
